0.00000	-48.94528
0.00002	-49.48114
0.00005	-55.98893
0.00007	-62.00953
0.00009	-56.32960
0.00011	-57.84401
0.00014	-58.05332
0.00016	-51.41935
0.00018	-46.72946
0.00020	-46.50236
0.00023	-49.48114
0.00025	-57.05384
0.00027	-65.70002
0.00029	-61.68172
0.00032	-52.35646
0.00034	-49.56047
0.00036	-44.91874
0.00039	-45.49801
0.00041	-46.50236
0.00043	-57.05384
0.00045	-57.43995
0.00048	-66.22660
0.00050	-71.22415
0.00052	-54.18540
0.00054	-45.95932
0.00057	-44.82584
0.00059	-43.82335
0.00061	-49.24743
0.00063	-48.03013
0.00066	-51.03324
0.00068	-48.03013
0.00070	-56.68417
0.00073	-59.42764
0.00075	-54.46116
0.00077	-53.28383
0.00079	-54.60240
0.00082	-49.72132
0.00084	-49.56047
0.00086	-48.23292
0.00088	-49.96833
0.00091	-49.64052
0.00093	-84.28840
0.00095	-61.68172
0.00098	-56.50508
0.00100	-57.43995
0.00102	-60.76657
0.00104	-53.40704
0.00107	-51.12817
0.00109	-48.79806
0.00111	-48.37080
0.00113	-45.49801
0.00116	-45.44824
0.00118	-44.03165
0.00120	-46.39101
0.00122	-50.22257
0.00125	-65.20355
0.00127	-46.96265
0.00129	-42.66866
0.00132	-40.65153
0.00134	-39.28000
0.00136	-39.42764
0.00138	-41.18168
0.00141	-43.86461
0.00143	-46.90376
0.00145	-48.09720
0.00147	-53.78750
0.00150	-58.71333
0.00152	-67.38644
0.00154	-57.84401
0.00156	-58.26780
0.00159	-49.48114
0.00161	-49.09504
0.00163	-46.90376
0.00166	-55.66112
0.00168	-51.51861
0.00170	-56.50508
0.00172	-57.24475
0.00175	[-inf]
0.00177	-51.82341
0.00179	-66.22660
0.00181	-51.61903
0.00184	-55.98893
0.00186	-54.18540
0.00188	-47.70232
0.00190	-44.87217
0.00193	-45.90684
0.00195	-44.55296
0.00197	-49.56047
0.00200	-55.82348
0.00202	-50.48448
0.00204	-55.19150
0.00206	-52.24720
0.00209	-60.20600
0.00211	-57.05384
0.00213	-62.35020
0.00215	-42.88764
0.00218	-52.69273
0.00220	-40.12495
0.00222	-78.26780
0.00224	-40.45379
0.00227	-42.88764
0.00229	-39.57783
0.00231	-36.20884
0.00234	-37.84401
0.00236	-45.70002
0.00238	-46.61517
0.00240	-36.84858
0.00243	-30.10300
0.00245	-27.70876
0.00247	-29.70510
0.00249	-36.46970
0.00252	-43.34290
0.00254	-32.81936
0.00256	-30.37001
0.00259	-29.53660
0.00261	-30.97678
0.00263	-31.56868
0.00265	-35.22203
0.00268	-35.08548
0.00270	-34.29466
0.00272	-36.72044
0.00274	-41.74630
0.00277	-39.32893
0.00279	-36.61209
0.00281	-44.50831
